object_id,rep,n_steps,phys_seed,grasp_seed,ctrl_seed,obs_seed_reserved,mass_scale,damping_scale
101579,0,119,1684198694,75200283,593380668,1852291136,1.165749400514705,1.1313089013632256
101579,1,119,1287792416,192963978,1503873809,638917504,0.8062013734615088,0.70044920022087
101579,2,119,572353716,116593265,1482012838,968842950,1.7723888994860035,1.004250069933059
101579,3,119,1045556333,18967735,368980647,2054824173,1.199603230315453,1.227063585472428
101579,4,119,1431785999,96521773,921909748,1415286929,0.9486298247816509,1.417960586604503
101579,5,119,852702259,1417654702,1919650938,2006606699,1.960244121951186,1.5818011753983983
101579,6,119,880878039,269891060,650788213,748945207,0.9235613628379544,1.95948878072051
101579,7,119,1898808800,430953450,1444544858,74434321,1.2477499960809693,0.6366161282751587
101579,8,119,243920965,1909130357,1554756253,1954771976,1.1455829706250082,1.304457630267204
101579,9,119,579034703,1312239767,1311185246,1029421576,0.9776190495445263,1.3984576764597667
101579,10,119,107302097,420182950,1450175595,2028716853,1.4757283247384863,1.9085900922356775
101579,11,119,502106650,846254724,1656387629,581768102,1.3572032550320023,1.7071021407695723
101579,12,119,908308685,933061248,844514233,2129421487,0.8582942410137984,1.915603610548101
101579,13,119,1862822980,2003594441,267191996,475329553,0.7878255905584077,1.1610035447044815
101579,14,119,744125730,2076760346,2077808172,205117558,1.9636033115842109,1.372576032908929
101579,15,119,688128625,1000451075,491846423,291387679,1.32878824199811,0.5883918086018649
103425,0,119,2126184382,1722547365,1223446700,2123799047,0.7318328989695614,1.9554542888049573
103425,1,119,1487318938,318586375,1124986456,1036027878,1.6895843231846137,1.656572017144009
103425,2,119,1413575065,1143631375,814746350,1790365127,0.6512412327001948,1.4434424324220037
103425,3,119,1320452648,1581547182,737237221,639073490,0.9230642459040199,0.888799999299841
103425,4,119,868622557,573001871,655770060,1749611868,1.2615716254068834,0.6651577507886532
103425,5,119,397305139,1496326211,1306066240,1196413095,0.793597902182553,1.0029011486968775
103425,6,119,1737350158,233773,1933153589,2076935788,0.639995580879791,0.8718298395326671
103425,7,119,507761998,969923911,1980336576,1970398883,1.2110463411883914,1.4137363554944202
103425,8,119,707792538,362326033,1848742346,850414007,1.4505526215948064,1.6934613371874419
103425,9,119,1650399682,2141550000,832777361,141130976,1.8251400200205676,0.839149671250972
103425,10,119,213295994,2100854881,2090426560,658130632,1.640069131406743,1.5697110405561032
103425,11,119,840003321,981722403,323997640,425342053,1.3947630316815276,0.7459704994468193
103425,12,119,1258343089,2023164889,458652979,1176608127,1.9481830543292737,1.2026641428029254
103425,13,119,422909007,1671337709,874875040,1245909548,0.9338140270358848,0.9276269202594122
103425,14,119,23621886,820570130,1827460970,2133996352,1.0442589500722446,1.1747431669010524
103425,15,119,761645075,1498198385,1256019617,1013534120,0.5770428617424148,0.7317491683064989
103776,0,112,868849583,876396677,1008738109,737553429,1.4758813320234117,1.5335370246753304
103776,1,112,1220804842,97079809,637796878,599188331,1.8436287465032515,0.929996463475677
103776,2,112,1926678577,42920318,1800440329,342413081,0.5525098012676264,0.9020489836349119
103776,3,112,1734353159,1918978698,2146985050,1302283936,1.8754816686955418,1.1575123282781457
103776,4,112,133253845,1778304968,76180346,43728581,1.1397897614750079,0.5334586582417392
103776,5,112,1318459359,1807757544,713772271,883863125,1.0169114417946243,1.8692988602170089
103776,6,112,2097068317,936415121,1279944936,427292215,1.2316920002494225,1.4802835543147153
103776,7,112,1611705332,1405061635,996501821,1513703808,1.58564091479636,0.8350432818993136
103776,8,112,2048374398,1931333425,1453988505,2117397098,1.3442842891251352,0.7724465748270701
103776,9,112,1453465907,725055489,1936186029,845513051,1.1798483591401778,1.0655214604436873
103776,10,112,520071408,770009411,2013344063,1940269649,0.6084946922757921,1.0604822871692121
103776,11,112,716488166,1989363522,1422236506,1365985086,1.0797389355648006,0.6300071926098976
103776,12,112,1468601480,121186018,538733304,1046014086,1.133292677954518,1.9452800902288034
103776,13,112,582677492,735348747,491305518,2055584801,1.5767271062438826,1.7453856086758235
103776,14,112,764415506,426384970,127741948,203915466,1.8226851545230724,0.9772464577976709
103776,15,112,1946259322,3134458,1261609379,1562886598,0.8008734373306123,1.084774526529308
10685,0,119,2109336688,1901209502,927656565,939110275,1.2278666434583412,0.847500825259953
10685,1,119,1743579167,338708729,2081564579,1948452262,1.5739402461602405,0.9335179666837501
10685,2,119,1026736531,1647406642,2141079590,1003721098,1.354119240524149,0.7176752323349881
10685,3,119,1490164850,1674332323,1082938471,1785487576,0.8292504504246386,1.90618917777554
10685,4,119,321654542,237014272,1668657233,1284279881,1.353079072944093,1.8972536027234042
10685,5,119,1838764034,1445199347,907992932,341666208,0.7260137660746011,1.8652207182782454
10685,6,119,1187600837,725659201,136346751,773151317,1.3485551779392682,1.946903094402343
10685,7,119,487683991,1644453852,372076257,1025593377,0.5226295029512279,1.9400454073783937
10685,8,119,901802329,1597191398,2013363533,1170932650,1.911305985701768,1.2923683369210295
10685,9,119,2077809574,252571774,1969967413,259836023,1.7930755824340314,0.9498385714723432
10685,10,119,1853602099,351022151,1042149940,282277580,1.8672984741488357,1.6252021342418574
10685,11,119,958656305,1633791716,1716838020,961298787,1.429011059065839,0.5141890577123416
10685,12,119,1709318230,1195595241,117623636,1910982958,1.1016047775551654,1.594795789986943
10685,13,119,1053109144,1600363335,2048907546,1636670262,1.3378663473300199,1.2419375289109513
10685,14,119,84973288,1138934167,149443660,226667480,0.888844497760737,1.1833484737804185
10685,15,119,650433706,1380497802,10203510,807613092,1.8191904515132582,1.7313149570672959
11622,0,119,1869814340,2143026027,1054420881,1847722282,1.0791104524452553,1.6434579105872194
