row_idx,object_id,firm,completion85
0,35059,1,1
1,35059,1,1
2,35059,1,1
3,35059,1,1
4,35059,1,1
5,35059,1,1
6,35059,1,1
7,35059,1,1
8,35059,1,1
9,35059,1,1
10,35059,1,1
11,35059,1,1
12,35059,1,1
13,35059,1,1
14,35059,1,1
15,35059,1,1
16,35059,1,1
17,35059,1,1
18,35059,1,1
19,35059,1,1
20,35059,1,1
21,35059,1,1
22,35059,1,1
23,35059,1,1
24,35059,1,1
25,35059,1,1
26,35059,1,1
27,35059,1,1
28,35059,1,1
29,35059,1,1
30,35059,1,1
31,35059,1,1
32,35059,1,1
33,35059,1,1
34,35059,1,1
35,35059,1,1
36,35059,1,1
37,35059,1,1
38,35059,1,1
39,35059,1,1
40,35059,1,1
41,35059,1,1
42,35059,1,1
43,35059,1,1
44,35059,1,1
45,35059,1,1
46,35059,1,1
47,35059,1,1
48,35059,1,1
49,35059,1,1
50,35059,1,1
51,35059,1,1
52,35059,1,1
53,35059,1,1
54,35059,1,1
55,35059,1,1
56,35059,1,1
57,35059,1,1
58,35059,1,1
59,35059,1,1
60,35059,1,1
61,35059,1,1
62,35059,1,1
63,35059,1,1
64,35059,1,1
65,35059,1,1
66,35059,1,1
67,35059,1,1
68,35059,1,1
69,35059,1,1
70,35059,1,1
71,35059,1,1
72,35059,1,1
73,35059,1,1
74,35059,1,1
75,35059,1,1
76,35059,1,1
77,35059,1,1
78,35059,1,1
79,35059,1,1
80,35059,1,1
81,35059,1,1
82,35059,1,1
83,35059,1,1
84,35059,1,1
85,35059,1,1
86,35059,1,1
87,35059,1,1
88,35059,1,1
89,35059,1,1
90,35059,1,1
91,35059,1,1
92,35059,1,1
93,35059,1,1
94,35059,1,1
95,35059,1,1
96,35059,1,1
97,35059,1,1
98,35059,1,1
99,35059,1,1
100,35059,1,1
101,35059,1,1
102,35059,1,1
103,35059,1,1
104,35059,1,1
105,35059,1,1
106,35059,1,1
107,35059,1,1
108,35059,1,1
109,35059,1,1
110,35059,1,1
111,35059,1,1
112,35059,1,1
113,35059,1,1
114,35059,1,1
115,35059,1,1
116,35059,1,1
117,35059,1,1
118,35059,1,1
119,35059,1,1
120,35059,1,1
121,35059,1,1
122,35059,1,1
123,35059,1,1
124,35059,1,1
125,35059,1,1
126,35059,1,1
127,35059,1,1
128,35059,1,1
129,35059,1,1
130,35059,1,1
131,35059,1,1
132,35059,1,1
133,35059,1,1
134,35059,1,1
135,35059,1,1
136,35059,1,1
137,35059,1,1
138,35059,1,1
139,35059,1,1
140,35059,1,1
141,35059,1,1
142,35059,1,1
143,35059,1,1
144,35059,1,1
145,35059,1,1
146,35059,1,1
147,35059,1,1
148,35059,1,1
149,35059,1,1
150,35059,1,1
151,35059,1,1
152,35059,1,1
153,35059,1,1
154,35059,1,1
155,35059,1,1
156,35059,1,1
157,35059,1,1
158,35059,1,1
159,35059,1,1
160,35059,1,1
161,35059,1,1
162,35059,1,1
163,35059,1,1
164,35059,1,1
165,35059,1,1
166,35059,1,1
167,35059,1,1
168,35059,1,1
169,35059,1,1
170,35059,1,1
171,35059,1,1
172,35059,1,1
173,35059,1,1
174,35059,1,1
175,35059,1,1
176,35059,1,1
177,35059,1,1
178,35059,1,1
179,35059,1,1
180,35059,1,1
181,35059,1,1
182,35059,1,1
183,35059,1,1
184,35059,1,1
185,35059,1,1
186,35059,1,1
187,35059,1,1
188,35059,1,1
189,35059,1,1
190,35059,1,1
191,35059,1,1
192,35059,1,1
193,35059,0,1
194,35059,0,1
195,35059,1,1
196,35059,0,1
197,35059,0,1
198,35059,1,1
199,35059,1,1
200,35059,1,1
201,35059,1,1
202,35059,0,1
203,35059,0,1
204,35059,1,1
205,35059,1,1
206,35059,1,1
207,35059,1,1
208,35059,1,1
209,35059,1,1
210,35059,0,1
211,35059,0,1
212,35059,0,1
213,35059,1,1
214,35059,1,1
215,35059,1,1
216,35059,1,1
217,35059,1,1
218,35059,1,1
219,35059,1,1
220,35059,1,1
221,35059,1,1
222,35059,1,1
223,35059,1,1
224,35059,1,1
225,35059,1,1
226,35059,1,1
227,35059,1,1
228,35059,1,1
229,35059,1,1
230,35059,1,1
231,35059,1,1
232,35059,1,1
233,35059,1,1
234,35059,1,1
235,35059,1,1
236,35059,1,1
237,35059,1,1
238,35059,1,1
239,35059,1,1
240,35059,1,1
241,35059,1,1
242,35059,1,1
243,35059,1,1
244,35059,1,1
245,35059,1,1
246,35059,1,1
247,35059,1,1
248,35059,1,1
249,35059,1,1
250,35059,1,1
251,35059,1,1
252,35059,1,1
253,35059,1,1
254,35059,1,1
255,35059,1,1
256,35059,1,1
257,35059,1,1
258,35059,1,1
259,35059,1,1
260,35059,1,1
261,35059,1,1
262,35059,1,1
263,35059,1,1
264,35059,1,1
265,35059,1,1
266,35059,1,1
267,35059,1,1
268,35059,1,1
269,35059,1,1
270,35059,1,1
271,35059,1,1
272,35059,1,1
273,35059,1,1
274,35059,1,1
275,35059,1,1
276,35059,1,1
277,35059,1,1
278,35059,1,1
279,35059,1,1
280,35059,1,1
281,35059,1,1
282,35059,1,1
283,35059,1,1
284,35059,1,1
285,35059,1,1
286,35059,1,1
287,35059,1,1
576,10905,0,1
577,10905,0,1
578,10905,0,1
579,10905,0,1
580,10905,0,1
581,10905,0,1
582,10905,0,1
583,10905,0,1
584,10905,0,1
585,10905,0,1
586,10905,0,1
587,10905,0,1
588,10905,0,1
589,10905,0,1
590,10905,0,1
591,10905,0,1
592,10905,0,1
593,10905,0,1
594,10905,0,1
595,10905,0,1
596,10905,0,1
597,10905,0,1
598,10905,0,1
599,10905,0,1
600,10905,1,1
601,10905,1,1
602,10905,0,1
603,10905,0,1
604,10905,1,1
605,10905,0,1
606,10905,1,1
607,10905,1,1
608,10905,1,1
609,10905,0,1
610,10905,1,1
611,10905,0,1
612,10905,0,1
613,10905,0,1
614,10905,1,1
615,10905,1,1
616,10905,1,1
617,10905,0,1
618,10905,0,1
619,10905,1,1
620,10905,1,1
621,10905,0,1
622,10905,1,1
623,10905,1,1
624,10905,0,1
625,10905,0,1
626,10905,0,1
627,10905,0,1
628,10905,0,1
629,10905,0,1
630,10905,0,1
631,10905,0,1
632,10905,0,1
633,10905,0,1
634,10905,0,1
635,10905,0,1
636,10905,0,1
637,10905,0,1
638,10905,0,1
639,10905,0,1
640,10905,0,1
641,10905,0,1
642,10905,0,1
643,10905,0,1
644,10905,0,1
645,10905,0,1
646,10905,0,1
647,10905,0,1
648,10905,0,1
649,10905,0,1
650,10905,0,1
651,10905,0,1
652,10905,0,1
653,10905,0,1
654,10905,0,1
655,10905,0,1
656,10905,0,1
657,10905,0,1
658,10905,0,1
659,10905,0,1
660,10905,0,1
661,10905,0,1
662,10905,0,1
663,10905,0,1
664,10905,0,1
665,10905,0,1
666,10905,0,1
667,10905,0,1
668,10905,0,1
669,10905,0,1
670,10905,0,1
671,10905,0,1
672,10905,0,1
673,10905,0,1
674,10905,0,1
675,10905,0,1
676,10905,0,1
677,10905,0,1
678,10905,0,1
679,10905,0,1
680,10905,0,1
681,10905,0,1
682,10905,0,1
683,10905,0,1
684,10905,0,1
685,10905,0,1
686,10905,0,1
687,10905,0,1
688,10905,0,1
689,10905,0,1
690,10905,0,1
691,10905,0,1
692,10905,0,1
693,10905,0,1
694,10905,0,1
695,10905,0,1
696,10905,0,1
697,10905,0,1
698,10905,0,1
699,10905,0,1
700,10905,0,1
701,10905,0,1
702,10905,0,1
703,10905,0,1
704,10905,0,1
705,10905,0,1
706,10905,0,1
707,10905,0,1
708,10905,0,1
709,10905,0,1
710,10905,0,1
711,10905,0,1
712,10905,0,1
713,10905,0,1
714,10905,0,1
715,10905,0,1
716,10905,0,1
717,10905,0,1
718,10905,0,1
719,10905,0,1
720,10905,0,1
721,10905,0,1
722,10905,0,1
723,10905,0,1
724,10905,0,1
725,10905,0,1
726,10905,0,1
727,10905,0,1
728,10905,0,1
729,10905,0,1
730,10905,0,1
731,10905,0,1
732,10905,0,1
733,10905,0,1
734,10905,0,1
735,10905,0,1
736,10905,0,1
737,10905,0,1
738,10905,0,1
739,10905,0,1
740,10905,0,1
741,10905,0,1
742,10905,0,1
743,10905,0,1
744,10905,0,1
745,10905,0,1
746,10905,0,1
747,10905,0,1
748,10905,0,1
749,10905,0,1
750,10905,0,1
751,10905,0,1
752,10905,0,1
